org.apache.tools.ant.filters.StripLineComments.Comment,1
org.apache.tools.ant.filters.SuffixLines,0
org.apache.tools.ant.filters.TabsToSpaces,0
org.apache.tools.ant.filters.TailFilter,10
org.apache.tools.ant.filters.TokenFilter,38
org.apache.tools.ant.filters.TokenFilter.ChainableReaderFilter,0
org.apache.tools.ant.filters.TokenFilter.ContainsRegex,2
org.apache.tools.ant.filters.TokenFilter.ContainsString,0
org.apache.tools.ant.filters.TokenFilter.DeleteCharacters,4
org.apache.tools.ant.filters.TokenFilter.FileTokenizer,Class contains less than 2 methods
org.apache.tools.ant.filters.TokenFilter.Filter,Class contains less than 2 methods
org.apache.tools.ant.filters.TokenFilter.IgnoreBlank,Class contains less than 2 methods
org.apache.tools.ant.filters.TokenFilter.ReplaceRegex,2
org.apache.tools.ant.filters.TokenFilter.ReplaceString,0
org.apache.tools.ant.filters.TokenFilter.StringTokenizer,Class contains less than 2 methods
org.apache.tools.ant.filters.TokenFilter.Trim,Class contains less than 2 methods
org.apache.tools.ant.filters.UniqFilter,Class contains less than 2 methods
org.apache.tools.ant.filters.util.ChainReaderHelper,33
org.apache.tools.ant.filters.util.JavaClassHelper,Class contains less than 2 methods
org.apache.tools.ant.helper.AntXMLContext,371
org.apache.tools.ant.helper.DefaultExecutor,1
org.apache.tools.ant.helper.IgnoreDependenciesExecutor,1
org.apache.tools.ant.helper.ProjectHelper2,62
org.apache.tools.ant.helper.ProjectHelper2.AntHandler,15
org.apache.tools.ant.helper.ProjectHelper2.ElementHandler,6
org.apache.tools.ant.helper.ProjectHelper2.MainHandler,Class contains less than 2 methods
org.apache.tools.ant.helper.ProjectHelper2.ProjectHandler,1
org.apache.tools.ant.helper.ProjectHelper2.RootHandler,0
org.apache.tools.ant.helper.ProjectHelper2.TargetHandler,6
org.apache.tools.ant.helper.ProjectHelperImpl,0
org.apache.tools.ant.helper.ProjectHelperImpl.AbstractHandler,0
org.apache.tools.ant.helper.ProjectHelperImpl.DataTypeHandler,0
org.apache.tools.ant.helper.ProjectHelperImpl.DescriptionHandler,Class contains less than 2 methods
org.apache.tools.ant.helper.ProjectHelperImpl.NestedElementHandler,0
org.apache.tools.ant.helper.ProjectHelperImpl.ProjectHandler,3
org.apache.tools.ant.helper.ProjectHelperImpl.RootHandler,0
org.apache.tools.ant.helper.ProjectHelperImpl.TargetHandler,0
org.apache.tools.ant.helper.ProjectHelperImpl.TaskHandler,0
org.apache.tools.ant.helper.SingleCheckExecutor,1
org.apache.tools.ant.input.DefaultInputHandler,3
org.apache.tools.ant.input.GreedyInputHandler,Class contains less than 2 methods
org.apache.tools.ant.input.InputHandler,Class contains less than 2 methods
org.apache.tools.ant.input.InputRequest,11
org.apache.tools.ant.input.MultipleChoiceInputRequest,0
org.apache.tools.ant.input.PropertyFileInputHandler,0
org.apache.tools.ant.input.SecureInputHandler,Class contains less than 2 methods
org.apache.tools.ant.launch.AntMain,Class contains less than 2 methods
org.apache.tools.ant.launch.LaunchException,Class contains less than 2 methods
org.apache.tools.ant.launch.Launcher,16
org.apache.tools.ant.launch.Locator,53
org.apache.tools.ant.listener.AnsiColorLogger,0
org.apache.tools.ant.listener.BigProjectLogger,66
org.apache.tools.ant.listener.CommonsLoggingListener,12
org.apache.tools.ant.listener.Log4jListener,0
org.apache.tools.ant.listener.MailLogger,13
org.apache.tools.ant.listener.MailLogger.Values,299
org.apache.tools.ant.listener.ProfileLogger,3
org.apache.tools.ant.listener.SilentLogger,15
org.apache.tools.ant.listener.SimpleBigProjectLogger,Class contains less than 2 methods
org.apache.tools.ant.listener.TimestampedLogger,0
org.apache.tools.ant.loader.AntClassLoader2,Class contains less than 2 methods
org.apache.tools.ant.loader.AntClassLoader5,1
