1, Class contains less than 2 methods
2, 0.9768519
2, 0.9285714
2, 1.075
2, 0.9692308
2, 0.9802632
2, 0.96464646
2, 0.9705882
2, 0.9716599
2, 0.9759359
2, 0.97008544
2, 0.88888884
2, 0.95454544
2, 0.96703297
2, 1.045
2, 2.0
2, 0.5
1, Class contains less than 2 methods
2, 2.0
3, 0.92800003
2, 1.0
1, Class contains less than 2 methods
2, 0.5416667
1, 0.9882353
1, 2.0
1, 0.6
1, 0.6
1, 0.0
3, 0.96618354
2, 0.8125
2, 0.8821549
2, 1.0
2, 0.8538462
3, 0.9548387
2, 0.92045456
2, 0.9699248
2, 0.85714287
2, Class contains less than 2 methods
2, 0.9375
3, 0.97115386
3, 0.97768766
2, 0.75
3, 0.97261906
2, Class contains less than 2 methods
2, Class contains less than 2 methods
3, Class contains less than 2 methods
3, 0.94047624
3, 0.8
2, Class contains less than 2 methods
3, 0.41666666
3, 1.0
2, 0.5
1, 0.65
1, 0.33333334
3, 0.90909094
3, 0.7818182
2, 0.8
2, 1.0
3, 0.9440789
2, 0.53333336
2, 0.0
2, 0.5555555
3, 0.94343895
3, 0.8888889
1, 0.86153847
2, 0.7083334
1, 1.5
1, 0.88095236
1, 0.7619047
3, 0.9166667
3, 0.96428573
3, Class contains less than 2 methods
2, 0.7777778
3, 0.95238096
3, 1.0
3, 0.9588235
1, 2.0
3, 1.0
3, 0.78571427
2, 0.9285714
2, 1.0
2, 1.0
3, 1.0
3, 0.9166666
3, 0.965035
3, 0.9285714
3, 0.9464286
2, Class contains less than 2 methods
3, 1.0
1, 2.0
1, 0.9492754
3, 0.9322917
2, 1.0
3, 0.9792208
1, 1.0
1, 1.5
3, 0.90909094
3, 0.96843433
3, 0.8333333
1, Class contains less than 2 methods
3, 0.8968254
3, 0.9166667
3, Class contains less than 2 methods
3, 0.89411765
2, 0.96000004
1, 1.0
1, 1.25
2, Class contains less than 2 methods
2, 1.0
1, 2.0
3, 0.9740686
2, Class contains less than 2 methods
1, 0.9898666
2, Class contains less than 2 methods
3, 0.8585859
3, 0.91358024
3, 0.9012345
3, 0.9705882
2, 0.0
3, 0.8333334
2, 0.8333333
3, 0.9722222
1, 1.0
1, 1.0
3, Class contains less than 2 methods
1, 1.0
1, 1.0
3, 0.9166667
2, 0.6666667
3, 0.8701298
3, 0.9272727
3, 0.93999994
2, 0.8333333
2, Class contains less than 2 methods
3, 0.85714287
3, 0.95238096
2, 0.90588236
3, 0.8937198
3, 0.97959185
2, 1.2
3, 0.85714287
2, 0.8214286
1, 0.0
1, Class contains less than 2 methods
1, 0.97120005
3, 1.0
1, 0.5
1, 0.5
3, 0.88888896
3, 0.9782293
2, 0.8333333
1, 1.0
1, 1.0
1, 2.0
1, 1.0
3, Class contains less than 2 methods
2, 1.0
1, 1.0
1, 1.0
3, 0.9904762
3, 0.96153843
2, 2.0
2, 1.0
2, 1.0
3, 1.3333334
3, 1.8
3, 1.1071428
1, Class contains less than 2 methods
3, 0.9126984
3, 0.70370364
2, 0.935065
2, 0.8611111
2, 0.45454547
3, 0.89
3, 0.89459455
2, 1.6
2, Class contains less than 2 methods
3, 0.8095238
3, 1.0
3, 1.0
2, 0.85714287
2, 0.0
3, 0.5
3, 1.0
3, 0.0
3, 0.96989965
2, 0.0
1, 0.0
1, 1.8333334
3, 0.82051283
2, 0.8
1, Class contains less than 2 methods
3, 0.9352941
3, 0.78571427
