"Coh","Lcom","Lcom_h","Loc","RFC","Relative_Size"
"Coh",1,-0.497872127719971,-0.972168831309252,-0.509696754261658,-0.440989412075529,-0.492078503461919
"Lcom",-0.497872127719971,1,0.387346529165072,0.573397665926533,0.645715462319255,0.500957110101348
"Lcom_h",-0.972168831309252,0.387346529165072,1,0.397948755848399,0.309742647613034,0.390831731553892
"Loc",-0.509696754261658,0.573397665926533,0.397948755848399,1,0.745321718268396,0.961105074206373
"RFC",-0.440989412075529,0.645715462319255,0.309742647613034,0.745321718268396,1,0.717353999203731
"Relative_Size",-0.492078503461919,0.500957110101348,0.390831731553892,0.961105074206373,0.717353999203731,1
