,Coh,Lcom,Lcom_h,Loc,RFC,Relative_Size
Coh,1,-0.34738151,-0.939315326,-0.514723086,-0.55732965,-0.512784839
Lcom,-0.34738151,1,0.268184532,0.652266138,0.799991292,0.666826672
Lcom_h,-0.939315326,0.268184532,1,0.391442955,0.421534172,0.393639963
Loc,-0.514723086,0.652266138,0.391442955,1,0.834009658,0.985941026
RFC,-0.55732965,0.799991292,0.421534172,0.834009658,1,0.840902047
Relative_Size,-0.512784839,0.666826672,0.393639963,0.985941026,0.840902047,1
