"Coh","Lcom","Lcom_h","Loc","RFC","Relative_Size"
"Coh",1,-0.246310200392782,-0.962376473830103,-0.497230223862476,-0.523087561576237,-0.452139861922998
"Lcom",-0.246310200392782,1,0.166398995709954,0.443540603173317,0.82539094086078,0.324641556185094
"Lcom_h",-0.962376473830103,0.166398995709954,1,0.342593123824226,0.36111902491132,0.309569528482187
"Loc",-0.497230223862476,0.443540603173317,0.342593123824226,1,0.714136574194133,0.975455019099531
"RFC",-0.523087561576237,0.82539094086078,0.36111902491132,0.714136574194133,1,0.607448991335407
"Relative_Size",-0.452139861922998,0.324641556185094,0.309569528482187,0.975455019099531,0.607448991335407,1
